sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
1943,194.3,680.4164407649611,307.7229640360635,1.3392735823267363,0.15731659172053591,1.3484814564349246,96.69949801470472,LOCKED,399.2897393240187,1100.7,1100.7102606759813,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.854354547151431,0.15536673918204114,0.8258165518442789,98.29192122243472,61.35132696554553,19.855097850517577,-4.864578608425016,20.44233439926013,103.76651747501307,680.77,309.29,98.29201943333334,61.350891677777774,1.6064264206466967,48.73891183989303,679.8564439282136,307.14020497308803,,
1944,194.4,680.5503622651521,307.7387208486712,1.3391564214948632,0.15781966043380588,1.3484238823346202,96.72130868475665,LOCKED,399.32180003218537,1100.8,1100.6781999678146,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.865857721970545,0.15552756554405525,0.8258165518442789,98.29195842285144,61.35132258865315,19.853363685147418,-4.880134610969797,20.444357740851522,103.81001769333807,680.91,309.3,98.29205832222223,61.350888899999994,1.6021647507982602,48.57174420535764,679.9888572754473,307.1443455978297,,
1945,194.5,680.6842721515798,307.7545277780835,1.3390413070593792,0.15831892781123955,1.3483680895492118,96.7429505923277,LOCKED,398.8160001880108,1100.9,1101.1839998119892,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.877379538665441,0.1556882257720872,0.8258165518442789,98.29199562004212,61.35131819783942,19.851659866516048,-4.895573067763107,20.44639418375894,103.85316910522721,681.04,309.3,98.29209443333333,61.350888899999994,1.5858835678753918,48.07954986617444,680.1212706226811,307.1484862225714,,
1946,194.6,680.8181707747824,307.7703845367053,1.3389311569942994,0.15881624462463276,1.3483171892128218,96.76448712833269,LOCKED,397.7776582851136,1102.6,1102.2223417148864,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.888919972721466,0.15584872037992614,0.8258165518442789,98.29203281410412,61.35131379318425,19.850029654365834,-4.910951208781699,20.44849918830811,103.89609830984278,681.17,309.31,98.29213054444445,61.35088612222222,1.5793035105809534,47.893213607064084,680.2536839699148,307.1526268473131,,
1947,194.7,680.9520586264321,307.7862909276623,1.3388258759997733,0.15931157451593073,1.3482710795761013,96.78591699379012,LOCKED,397.23218682524976,1102.5,1102.7678131747502,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.9004789996393745,0.15600904987871828,0.8258165518442789,98.29207000517401,61.351309374742314,19.848471635843826,-4.926267909753724,20.45067093758946,103.9388028651112,681.31,309.32,98.29216943333334,61.35088334444444,1.5749239808582967,47.7216568103003,680.3860973171486,307.1567674720548,,
1948,194.8,681.0859361886551,307.802246750411,1.3387253684621643,0.15980488045782126,1.3482296584715439,96.80723887154085,LOCKED,397.6688850454343,1102.6,1102.3311149545657,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.912056594935947,0.1561692147769861,0.8258165518442789,98.29210719338575,61.35130494256933,19.846984393443847,-4.941522025712406,20.452907603668592,103.98128029574963,681.44,309.32,98.29220554444444,61.35088334444444,1.5585044463017002,47.22493490695635,680.5185106643823,307.1609080967965,,
1949,194.9,681.219803934001,307.81825180067165,1.3386295384553775,0.16029612475588195,1.3481928233146065,96.82845142632641,LOCKED,398.42555830934316,1101.4,1101.5744416906568,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.923652734144607,0.156329215580647,0.8258165518442789,98.29214437887056,61.35130049672203,19.84556650502617,-4.956712391062438,20.45520734759559,104.02352809344029,681.57,309.33,98.29224165555556,61.35088056666666,1.5517795922145927,47.03403662286588,680.6509240116161,307.1650487215382,,
1950,195.0,681.3536623254109,307.83430587036196,1.3385382897421145,0.16078526905078802,1.3481604711047863,96.849553304869,LOCKED,398.71334535068536,1101.4,1101.2866546493146,1500.0,21.55571391042604,0.9279863834381104,1.9995560449463896,4.484496036241607,0.13671425037724103,0.8399697409735786,98.29218156175706,61.35129603725823,19.844216543836108,-4.971837819648256,20.457568319415273,104.06554371700554,681.71,309.34,98.29228054444445,61.35087778888889,1.5472851548302107,46.858157883667054,680.7833321392628,307.169189392129,,
1951,195.1,681.4875118161868,307.85040874753054,1.338451525775055,0.1612722743205803,1.348132498426659,96.87054313595218,LOCKED,398.4802275637005,1101.9,1101.5197724362995,1500.0,21.55571391042604,0.9279863834381104,1.9995560449463896,4.493290918574001,0.13689699140671774,0.8399697409735786,98.29221874217117,61.351291564236796,19.842933078521515,-4.986897104824166,20.459988658178357,104.10732459258372,681.84,309.34,98.29231665555557,61.35087778888889,1.5307285909531425,46.35696167310107,680.9157454762743,307.1733300169605,,
1952,195.2,681.6213528499605,307.86656021629074,1.338369149697969,0.16175710088299353,1.3481088014508829,96.89141953050262,LOCKED,398.2636507347886,1101.4,1101.7363492652114,1500.0,21.55571391042604,0.9279863834381104,1.9995560449463896,4.502110246821773,0.1370794888238607,0.8399697409735786,98.2922559202361,61.35128707771769,19.841714673149205,-5.001889019526344,20.46246649195357,104.14886811380569,681.97,309.35,98.29235276666667,61.35087501111111,1.5238597137276477,46.1615511848197,681.0481588132858,307.177470641792,,
