t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
262.6,98.31754765709037,61.349671518231254,19.93596831120903,95.05593723824927,19.858400133066784,-1.7569224970225064
262.7,98.31758485420085,61.3496699404357,19.926144764127464,95.05543135312774,19.84863031217446,-1.7558815141100903
262.8,98.31762203308774,61.34966836352306,19.916419522303016,95.0552357195113,19.838948894723398,-1.7549567917546893
262.9,98.31765919391671,61.34966678738964,19.906792476970313,95.05534601962142,19.829355919674274,-1.7541466677677462
263.0,98.31769633685353,61.34966521193322,19.897263527833484,95.05575792897048,19.81985143239343,-1.7534494842751085
263.1,98.31773346206404,61.34966363705312,19.88783258306277,95.05646711695601,19.810435484721204,-1.7528635878562273
263.2,98.31777056971416,61.34966206265008,19.878499559291306,95.05746924744545,19.80110813503936,-1.752387329679941
263.3,98.31780765996996,61.34966048862637,19.869264381611806,95.05875997935141,19.791869448337433,-1.7520190656368029
263.4,98.31784473299761,61.3496589148857,19.86012698357341,95.06033496719698,19.782719496278148,-1.7517571564680583
263.5,98.31788178896348,61.34965734133327,19.851087307178556,95.06218986167187,19.773658357261787,-1.7515999678912657
263.6,98.31791882803401,61.349655767875745,19.842145302880013,95.06432031017908,19.764686116489628,-1.7515458707226457
263.7,98.31795585037585,61.34965419442124,19.83330092957793,95.06672195737201,19.75580286602631,-1.751593240996136
263.8,98.31799285615585,61.34965262087933,19.824554154617097,95.06939044568242,19.747008704861283,-1.7517404600792734
263.9,98.318029845541,61.34965104716105,19.815904953784287,95.07232141583961,19.738303738969176,-1.7519859147858852
264.0,98.31806681869854,61.34964947317888,19.80735331130583,95.0755105073801,19.729688081369307,-1.7523279974856307
264.1,98.31810377579589,61.349647898846726,19.7988992198453,95.07895335914816,19.72116185218411,-1.7527651062104863
264.2,98.31814071700073,61.349646324079956,19.79054268050139,95.08264560978824,19.71272517869661,-1.753295644758142
264.3,98.31817764248099,61.349644748795335,19.782283702805994,95.08658289822779,19.704378195406917,-1.7539180227924018
264.4,98.31821455240483,61.349643172911094,19.774122304722443,95.09076086415195,19.696121044087718,-1.7546306559406235
264.5,98.31825144694069,61.349641596346856,19.76605851264404,95.09517514846925,19.68795387383884,-1.7554319658882052
264.6,98.31828832625733,61.34964001902367,19.75809236139267,95.09982139376916,19.67987684114076,-1.7563203804701921
264.7,98.31832519052377,61.349638440863984,19.75022389421773,95.10469524477128,19.671890109907178,-1.7572943337600355
264.8,98.31836203990935,61.34963686179167,19.742453162795247,95.10979234876555,19.663993851536613,-1.7583522661555284
264.9,98.31839887458374,61.349635281731985,19.734780227227226,95.11510835604554,19.656188244963023,-1.7594926244619837
265.0,98.31843569471698,61.34963370061157,19.727205156041183,95.1206389203324,19.64847347670539,-1.760713861972656
265.1,98.31847250047944,61.34963211835847,19.719728026189934,95.12637969919166,19.640849740916366,-1.7620144385464978
265.2,98.31850929204185,61.349630534902104,19.712348923051632,95.13232635444189,19.63331723942996,-1.7633928206832505
265.3,98.31854606957536,61.349628950173255,19.705067940429945,95.13847455255564,19.625876181808152,-1.7648474815959188
265.4,98.31858283325148,61.349627364104094,19.69788518055457,95.14481996505287,19.618526785386653,-1.7663769012806627
265.5,98.31861958324218,61.34962577662814,19.690800754081852,95.15135826888655,19.61126927531952,-1.7679795665841591
265.6,98.3186563197198,61.34962418768027,19.683814780095688,95.15808514682118,19.604103884622916,-1.769653971268444
