sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
1375,137.5,605.013284034274,305.2457874739509,1.2991091120009497,0.046984393671454114,1.2999584678490965,92.07129225578637,LOCKED,405.721785263785,1094.1,1094.278214736215,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.599676537854128,0.13651332215237927,0.8945879936218262,98.27097590112064,61.35201507014612,19.25922518804396,-1.4528618620850755,19.31394735506153,94.3140616392688,605.13,305.7,98.27100832222223,61.3518889,0.46896869349165354,14.151442523968555,604.6456677762611,304.78833015508656,,
1376,137.6,605.1431954906209,305.250501454968,1.2991200149371922,0.04729522667065231,1.2999806351158616,92.08496569388228,LOCKED,405.1251620013061,1094.9,1094.874837998694,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6075506587193287,0.1366963317908688,0.8945879936218262,98.27101198763629,61.35201376070695,19.25938762920235,-1.4624735091602818,19.314834729214436,94.34245672553516,605.26,305.7,98.27104443333334,61.3518889,0.46442678152445777,14.00694304265968,604.7780811735124,304.79247077961577,,
1377,137.7,605.273108433286,305.25524720288416,1.299138838364157,0.04761973165297184,1.3000112923312905,92.09922804667667,LOCKED,405.4039921420763,1095.2,1094.5960078579237,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6154593139762397,0.13687909674263374,0.8945879936218262,98.2710480745648,61.35201244244364,19.259667496677668,-1.4725079243357848,19.31587615589347,94.37207304013657,605.39,305.71,98.27108054444444,61.35188612222222,0.4695356694155543,14.168341888224084,604.9104945707637,304.796611404145,,
1378,137.8,605.4030236936497,305.26002609920437,1.2991663689095523,0.04795819475177014,1.3000512461243516,92.11409031678829,LOCKED,406.5255490429397,1092.9,1093.4744509570603,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.623402415486213,0.1370616179865074,0.8945879936218262,98.27108416213713,61.35201111497244,19.260076452437545,-1.4829739554908477,19.31708458091964,94.40293319389627,605.53,305.72,98.27111943333334,61.35188334444444,0.47717813423031347,14.34744050326301,605.042907968015,304.8007520286742,,
1379,137.9,605.5329421390242,305.2648395360411,1.2992025385786723,0.048310541983592276,1.3001004363955944,92.12954898402887,LOCKED,407.044912074575,1093.1,1092.955087925425,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.631379874899844,0.13724389649481425,0.8945879936218262,98.27112025059418,61.35200977790665,19.26061348871858,-1.4938693148926365,19.318459501000227,94.43502962674586,605.66,305.72,98.27115554444445,61.35188334444444,0.47256189857736774,14.200058756541685,605.1753213652663,304.8048926532034,,
1380,138.0,605.662864629955,305.26968889810263,1.299247280040198,0.048676699246672735,1.3001588040471839,92.14560050001234,LOCKED,406.93176177000214,1093.2,1093.0682382299979,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.639391603667623,0.13742593323343047,0.8945879936218262,98.271156340175,61.35200843086164,19.261277607590824,-1.5051917111498914,19.320000444202737,94.46835470907405,605.79,305.73,98.27119165555555,61.351880566666665,0.4775455086653508,14.358086820469618,605.3077347625176,304.8090332777326,,
1381,138.1,605.7927920202882,305.2745755626807,1.2993005266230329,0.0490565923154841,1.3002262909711133,92.16224128841003,LOCKED,406.9703262518037,1092.4,1093.0296737481963,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6474375130504537,0.13760772916184358,0.8945879936218262,98.27119243111675,61.35200707345481,19.26206782091097,-1.5169388490443583,19.321706969341864,94.502900742164,605.93,305.74,98.27123054444445,61.351877788888885,0.4852277161813684,14.534993580763949,605.4401481597689,304.81317390226184,,
1382,138.2,605.922725157235,305.2795008996382,1.2993622123130122,0.04945014683505935,1.3003028400372638,92.1794677451905,LOCKED,406.9892040822565,1093.0,1093.0107959177435,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6555175141300404,0.1377892852332114,0.8945879936218262,98.2712285236548,61.35200570530565,19.26298315027351,-1.529108429355224,19.323578665362334,94.53865995859519,606.06,305.74,98.27126665555556,61.351877788888885,0.48052450914615685,14.384345996351424,605.5725615570202,304.81731452679105,,
1383,138.3,606.0526648814381,305.2844662713957,1.2994322717494897,0.0498572883150895,1.3003883950813209,92.19727623884347,LOCKED,406.68581791874067,1094.1,1093.3141820812593,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.663631517819138,0.13797060239442058,0.8945879936218262,98.27126461802263,61.35200432603572,19.26402262696018,-1.5416981486766008,19.325615150718143,94.57562452261101,606.19,305.75,98.27130276666666,61.351875011111105,0.48536850666135783,14.538603718398962,605.7049749542715,304.82145515132027,,
1384,138.4,606.1826120270366,305.2894730329176,1.299510640221799,0.050277942123796375,1.3004829008925392,92.2156631105891,LOCKED,406.34481307035617,1093.3,1093.6551869296438,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.671779434871674,0.1381516815861439,0.8945879936218262,98.27130071445195,61.35200293526863,19.265185291887516,-1.554705699228059,19.32781607274788,94.61378653045256,606.33,305.76,98.27134165555556,61.35187223333333,0.49307082790001877,14.71289399141597,605.8373883515228,304.8255957758495,,
