t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
234.5,98.3065518196655,61.34952211318007,19.902065979533614,99.45368422668798,19.631770003345228,-3.268919819980862
234.6,98.30658860114437,61.349519176672864,19.902067796092084,99.45368335588762,19.631771844914606,-3.268919819980862
234.7,98.30662538262325,61.34951624016566,19.902069612650497,99.45368248508737,19.631773686483925,-3.268919819980862
234.8,98.30666216410212,61.349513303658455,19.902071429208874,99.45368161428735,19.631775528053197,-3.268919819980862
234.9,98.30669894558099,61.349510367151254,19.902073245767195,99.4536807434875,19.631777369622412,-3.268919819980862
235.0,98.30673572703856,61.349507431182055,19.902074782585984,99.45367555039928,19.63177918185257,-3.268918293048189
235.1,98.30677250851737,61.349504494676225,19.902076599143395,99.45367467960057,19.631781023420825,-3.268918293048189
235.2,98.30680928999618,61.34950155817039,19.902078415700753,99.45367380880208,19.631782864989027,-3.268918293048189
235.3,98.30684607147501,61.34949862166456,19.90208023225806,99.45367293800376,19.63178470655717,-3.268918293048189
235.4,98.30688285295382,61.34949568515873,19.902082048815334,99.45367206720562,19.631786548125273,-3.268918293048189
235.5,98.30691963443265,61.34949274865289,19.902083865372553,99.45367119640764,19.63178838969332,-3.268918293048189
235.6,98.30695641591146,61.34948981214706,19.90208568192973,99.45367032560989,19.631790231261316,-3.268918293048189
235.7,98.30699319739028,61.349486875641226,19.90208749848686,99.45366945481226,19.631792072829263,-3.268918293048189
235.8,98.3070299788691,61.349483939135396,19.902089315043938,99.45366858401485,19.63179391439715,-3.268918293048189
235.9,98.30706676034792,61.34948100262956,19.902091131600972,99.45366771321761,19.63179575596499,-3.268918293048189
236.0,98.30710354182673,61.34947806612373,19.902092948157968,99.4536668424206,19.631797597532785,-3.268918293048189
236.1,98.30714032330555,61.34947512961789,19.902094764714914,99.4536659716237,19.631799439100526,-3.268918293048189
236.2,98.30717710478437,61.349472193112064,19.90209658127181,99.45366510082704,19.63180128066821,-3.268918293048189
236.3,98.30721388626318,61.349469256606234,19.90209839782866,99.45366423003054,19.631803122235844,-3.268918293048189
236.4,98.30725066774201,61.3494663201004,19.902100214385467,99.45366335923421,19.63180496380343,-3.268918293048189
236.5,98.30728744922082,61.34946338359457,19.902102030942224,99.45366248843811,19.63180680537096,-3.268918293048189
236.6,98.30732423069965,61.34946044708873,19.90210384749894,99.45366161764218,19.631808646938442,-3.268918293048189
236.7,98.30736101217846,61.3494575105829,19.902105664055597,99.45366074684637,19.631810488505863,-3.268918293048189
236.8,98.30739779365727,61.349454574077065,19.90210748061222,99.45365987605078,19.63181233007324,-3.268918293048189
236.9,98.3074345751361,61.349451637571235,19.902109297168792,99.45365900525542,19.631814171640567,-3.268918293048189
237.0,98.30747135661491,61.3494487010654,19.902111113725322,99.45365813446017,19.631816013207843,-3.268918293048189
237.1,98.30750813809374,61.34944576455957,19.902112930281806,99.45365726366515,19.63181785477507,-3.268918293048189
237.2,98.30754491957255,61.34944282805374,19.902114746838233,99.4536563928703,19.63181969634223,-3.268918293048189
237.3,98.30758170105138,61.3494398915479,19.902116563394625,99.45365552207568,19.631821537909353,-3.268918293048189
237.4,98.30761848253019,61.34943695504207,19.902118379950966,99.45365465128117,19.631823379476423,-3.268918293048189
237.5,98.307655264009,61.349434018536236,19.90212019650727,99.45365378048689,19.631825221043442,-3.268918293048189
237.6,98.30769204548783,61.34943108203041,19.902122013063508,99.45365290969278,19.631827062610398,-3.268918293048189
237.7,98.30772882696664,61.34942814552457,19.902123829619722,99.45365203889884,19.631828904177322,-3.268918293048189
237.8,98.30776560844546,61.34942520901874,19.90212564617587,99.45365116810513,19.631830745744175,-3.268918293048189
237.9,98.30780238992428,61.3494222725129,19.902127462731986,99.45365029731153,19.63183258731099,-3.268918293048189
238.0,98.3078391714031,61.349419336007074,19.902129279288054,99.45364942651815,19.63183442887775,-3.268918293048189
238.1,98.30787595288191,61.349416399501244,19.902131095844066,99.45364855572495,19.63183627044445,-3.268918293048189
238.2,98.30791273436074,61.34941346299541,19.902132912400035,99.45364768493198,19.631838112011103,-3.268918293048189
238.3,98.30794951583955,61.34941052648958,19.902134728955968,99.45364681413912,19.63183995357771,-3.268918293048189
238.4,98.30798629731837,61.34940758998374,19.902136545511844,99.45364594334649,19.63184179514426,-3.268918293048189
